lat,lon,insol,month,temp
-60,-70.35159,7.13,jan,4.61
-60,-70.35159,7.3,feb,5.59
-60,-70.35159,7.06,mar,4.72
-60,-70.35159,6.8,apr,3.58
-60,-70.35159,6.9,may,2.57
-60,-70.35159,6.83,jun,1.97
-60,-70.35159,6.73,jul,1.78
-60,-70.35159,6.71,aug,1.57
-60,-70.35159,6.64,sep,1.71
-60,-70.35159,7.01,oct,2.68
-60,-70.35159,7.02,nov,3.19
-60,-70.35159,7.06,dic,3.75
-50,-70.35159,7.29,jan,14.01
-50,-70.35159,7.39,feb,14.57
-50,-70.35159,6.73,mar,9.6
-50,-70.35159,6.5,apr,6.1
-50,-70.35159,6.25,may,2.9
-50,-70.35159,5.6,jun,-1.63
-50,-70.35159,5.61,jul,-1.9
-50,-70.35159,5.98,aug,1.97
-50,-70.35159,6.2,sep,3.18
-50,-70.35159,6.46,oct,7.09
-50,-70.35159,6.73,nov,10.83
-50,-70.35159,7.23,dic,14.03
-40,-70.35159,7.35,jan,18.21
-40,-70.35159,7.36,feb,18.24
-40,-70.35159,6.75,mar,12.96
-40,-70.35159,6.6,apr,9.43
-40,-70.35159,6.45,may,6.04
-40,-70.35159,6.03,jun,1.65
-40,-70.35159,6.13,jul,0.74
-40,-70.35159,6.14,aug,3.59
-40,-70.35159,6.32,sep,6.68
-40,-70.35159,6.59,oct,8.06
-40,-70.35159,6.8,nov,12.35
-40,-70.35159,6.98,dic,15.68
-30,-70.35159,6.52,jan,10.75
-30,-70.35159,6.74,feb,11.69
-30,-70.35159,5.96,mar,9.2
-30,-70.35159,6.18,apr,8.19
-30,-70.35159,5.94,may,4.1
-30,-70.35159,5.56,jun,-0.69
-30,-70.35159,5.54,jul,-0.57
-30,-70.35159,5.65,aug,2.6
-30,-70.35159,5.91,sep,5.35
-30,-70.35159,6.37,oct,5.13
-30,-70.35159,6.2,nov,8.54
-30,-70.35159,6.08,dic,10.12
-20,-70.35159,9.08,jan,21.02
-20,-70.35159,9.27,feb,21.74
-20,-70.35159,9.2,mar,21
-20,-70.35159,8.9,apr,19.63
-20,-70.35159,8.88,may,17.58
-20,-70.35159,9.2,jun,17.06
-20,-70.35159,9.15,jul,16.34
-20,-70.35159,8.9,aug,15.86
-20,-70.35159,8.78,sep,16.12
-20,-70.35159,9.12,oct,17.94
-20,-70.35159,8.77,nov,18.84
-20,-70.35159,8.87,dic,20.03
-10,-70.35159,10.18,jan,25.6
-10,-70.35159,10.28,feb,25.01
-10,-70.35159,10.26,mar,24.8
-10,-70.35159,10.09,apr,24.93
-10,-70.35159,9.85,may,25.21
-10,-70.35159,9.35,jun,25.39
-10,-70.35159,9.22,jul,27.23
-10,-70.35159,9.62,aug,26.77
-10,-70.35159,9.79,sep,28.79
-10,-70.35159,10.26,oct,27.85
-10,-70.35159,10.41,nov,26.72
-10,-70.35159,10.32,dic,25.75
0,-70.35159,10.21,jan,25.13
0,-70.35159,10.04,feb,25.22
0,-70.35159,10.23,mar,25.71
0,-70.35159,10.34,apr,24.82
0,-70.35159,10.31,may,24.78
0,-70.35159,10.3,jun,24.21
0,-70.35159,10.19,jul,24.5
0,-70.35159,10.04,aug,24.81
0,-70.35159,10.11,sep,25.16
0,-70.35159,10.23,oct,25.51
0,-70.35159,10.35,nov,25.61
0,-70.35159,10.27,dic,25.1
10,-70.35159,9.36,jan,25.01
10,-70.35159,9.12,feb,23.53
10,-70.35159,9.61,mar,26.22
10,-70.35159,10,apr,26.18
10,-70.35159,9.98,may,26.19
10,-70.35159,9.85,jun,26.2
10,-70.35159,9.86,jul,25.87
10,-70.35159,9.88,aug,26.08
10,-70.35159,10.05,sep,25.47
10,-70.35159,9.98,oct,24.56
10,-70.35159,9.75,nov,24.96
10,-70.35159,8.91,dic,24.4
20,-70.35159,9.74,jan,25.69
20,-70.35159,9.13,feb,24.93
20,-70.35159,9.11,mar,24.72
20,-70.35159,9.41,apr,25.75
20,-70.35159,9.65,may,26.32
20,-70.35159,9.79,jun,27.26
20,-70.35159,9.89,jul,27.73
20,-70.35159,9.88,aug,27.93
20,-70.35159,10.04,sep,28.14
20,-70.35159,10,oct,27.59
20,-70.35159,9.73,nov,27.19
20,-70.35159,9.32,dic,26.48
30,-70.35159,8.75,jan,20.06
30,-70.35159,8.54,feb,21.4
30,-70.35159,8.4,mar,19.28
30,-70.35159,8.75,apr,21.25
30,-70.35159,9.12,may,23.7
30,-70.35159,9.77,jun,26.3
30,-70.35159,9.94,jul,27.04
30,-70.35159,9.75,aug,27.97
30,-70.35159,9.95,sep,27.69
30,-70.35159,9.31,oct,25.86
30,-70.35159,9.19,nov,24.05
30,-70.35159,8.92,dic,21.92
40,-70.35159,6.93,jan,4.55
40,-70.35159,7.21,feb,6.93
40,-70.35159,6.88,mar,5.55
40,-70.35159,7.12,apr,7.92
40,-70.35159,8.18,may,12.1
40,-70.35159,8.39,jun,16.34
40,-70.35159,8.86,jul,21.51
40,-70.35159,9.33,aug,23.54
40,-70.35159,9.19,sep,20.99
40,-70.35159,8.35,oct,16.25
40,-70.35159,7.65,nov,10.91
40,-70.35159,7.14,dic,7.32
50,-70.35159,4.56,jan,-21.45
50,-70.35159,4.81,feb,-16.46
50,-70.35159,5.64,mar,-7.81
50,-70.35159,5.63,apr,-6.81
50,-70.35159,6.63,may,3.93
50,-70.35159,7.36,jun,10.83
50,-70.35159,8.52,jul,17.18
50,-70.35159,8.18,aug,15.55
50,-70.35159,7.36,sep,8.92
50,-70.35159,6.28,oct,-2.49
50,-70.35159,5.66,nov,-9.54
50,-70.35159,5.09,dic,-16.17
60,-70.35159,3.68,jan,-28.36
60,-70.35159,3.52,feb,-29.39
60,-70.35159,5.1,mar,-13.88
60,-70.35159,4.96,apr,-12.36
60,-70.35159,5.95,may,-7.08
60,-70.35159,6.94,jun,1.2
60,-70.35159,7.36,jul,7.55
60,-70.35159,7.46,aug,7.02
60,-70.35159,6.77,sep,1.45
60,-70.35159,5.92,oct,-6.02
60,-70.35159,5.44,nov,-11.18
60,-70.35159,4.79,dic,-19.9
