lat,lon,insol,month
-60,-70.35159,7.13,jan
-60,-70.35159,7.3,feb
-60,-70.35159,7.06,mar
-60,-70.35159,6.8,apr
-60,-70.35159,6.9,may
-60,-70.35159,6.83,jun
-60,-70.35159,6.73,jul
-60,-70.35159,6.71,aug
-60,-70.35159,6.64,sep
-60,-70.35159,7.01,oct
-60,-70.35159,7.02,nov
-60,-70.35159,7.06,dic
-50,-70.35159,7.29,jan
-50,-70.35159,7.39,feb
-50,-70.35159,6.73,mar
-50,-70.35159,6.5,apr
-50,-70.35159,6.25,may
-50,-70.35159,5.6,jun
-50,-70.35159,5.61,jul
-50,-70.35159,5.98,aug
-50,-70.35159,6.2,sep
-50,-70.35159,6.46,oct
-50,-70.35159,6.73,nov
-50,-70.35159,7.23,dic
-40,-70.35159,7.35,jan
-40,-70.35159,7.36,feb
-40,-70.35159,6.75,mar
-40,-70.35159,6.6,apr
-40,-70.35159,6.45,may
-40,-70.35159,6.03,jun
-40,-70.35159,6.13,jul
-40,-70.35159,6.14,aug
-40,-70.35159,6.32,sep
-40,-70.35159,6.59,oct
-40,-70.35159,6.8,nov
-40,-70.35159,6.98,dic
-30,-70.35159,6.52,jan
-30,-70.35159,6.74,feb
-30,-70.35159,5.96,mar
-30,-70.35159,6.18,apr
-30,-70.35159,5.94,may
-30,-70.35159,5.56,jun
-30,-70.35159,5.54,jul
-30,-70.35159,5.65,aug
-30,-70.35159,5.91,sep
-30,-70.35159,6.37,oct
-30,-70.35159,6.2,nov
-30,-70.35159,6.08,dic
-20,-70.35159,9.08,jan
-20,-70.35159,9.27,feb
-20,-70.35159,9.2,mar
-20,-70.35159,8.9,apr
-20,-70.35159,8.88,may
-20,-70.35159,9.2,jun
-20,-70.35159,9.15,jul
-20,-70.35159,8.9,aug
-20,-70.35159,8.78,sep
-20,-70.35159,9.12,oct
-20,-70.35159,8.77,nov
-20,-70.35159,8.87,dic
-10,-70.35159,10.18,jan
-10,-70.35159,10.28,feb
-10,-70.35159,10.26,mar
-10,-70.35159,10.09,apr
-10,-70.35159,9.85,may
-10,-70.35159,9.35,jun
-10,-70.35159,9.22,jul
-10,-70.35159,9.62,aug
-10,-70.35159,9.79,sep
-10,-70.35159,10.26,oct
-10,-70.35159,10.41,nov
-10,-70.35159,10.32,dic
0,-70.35159,10.21,jan
0,-70.35159,10.04,feb
0,-70.35159,10.23,mar
0,-70.35159,10.34,apr
0,-70.35159,10.31,may
0,-70.35159,10.3,jun
0,-70.35159,10.19,jul
0,-70.35159,10.04,aug
0,-70.35159,10.11,sep
0,-70.35159,10.23,oct
0,-70.35159,10.35,nov
0,-70.35159,10.27,dic
10,-70.35159,9.36,jan
10,-70.35159,9.12,feb
10,-70.35159,9.61,mar
10,-70.35159,10,apr
10,-70.35159,9.98,may
10,-70.35159,9.85,jun
10,-70.35159,9.86,jul
10,-70.35159,9.88,aug
10,-70.35159,10.05,sep
10,-70.35159,9.98,oct
10,-70.35159,9.75,nov
10,-70.35159,8.91,dic
20,-70.35159,9.74,jan
20,-70.35159,9.13,feb
20,-70.35159,9.11,mar
20,-70.35159,9.41,apr
20,-70.35159,9.65,may
20,-70.35159,9.79,jun
20,-70.35159,9.89,jul
20,-70.35159,9.88,aug
20,-70.35159,10.04,sep
20,-70.35159,10,oct
20,-70.35159,9.73,nov
20,-70.35159,9.32,dic
30,-70.35159,8.75,jan
30,-70.35159,8.54,feb
30,-70.35159,8.4,mar
30,-70.35159,8.75,apr
30,-70.35159,9.12,may
30,-70.35159,9.77,jun
30,-70.35159,9.94,jul
30,-70.35159,9.75,aug
30,-70.35159,9.95,sep
30,-70.35159,9.31,oct
30,-70.35159,9.19,nov
30,-70.35159,8.92,dic
40,-70.35159,6.93,jan
40,-70.35159,7.21,feb
40,-70.35159,6.88,mar
40,-70.35159,7.12,apr
40,-70.35159,8.18,may
40,-70.35159,8.39,jun
40,-70.35159,8.86,jul
40,-70.35159,9.33,aug
40,-70.35159,9.19,sep
40,-70.35159,8.35,oct
40,-70.35159,7.65,nov
40,-70.35159,7.14,dic
50,-70.35159,4.56,jan
50,-70.35159,4.81,feb
50,-70.35159,5.64,mar
50,-70.35159,5.63,apr
50,-70.35159,6.63,may
50,-70.35159,7.36,jun
50,-70.35159,8.52,jul
50,-70.35159,8.18,aug
50,-70.35159,7.36,sep
50,-70.35159,6.28,oct
50,-70.35159,5.66,nov
50,-70.35159,5.09,dic
60,-70.35159,3.68,jan
60,-70.35159,3.52,feb
60,-70.35159,5.1,mar
60,-70.35159,4.96,apr
60,-70.35159,5.95,may
60,-70.35159,6.94,jun
60,-70.35159,7.36,jul
60,-70.35159,7.46,aug
60,-70.35159,6.77,sep
60,-70.35159,5.92,oct
60,-70.35159,5.44,nov
60,-70.35159,4.79,dic
