BYYY,BM,BD,BH,EYYY,EM,ED,EH,SST,SSTANOM,HOTSPOT,DHW,Lat,Lon,Reef_Name,
2000,11,28,2,2000,12,2,3,27.8,0.1,0,0,18,-67.5,Puerto,Rico
2000,12,2,3,2000,12,5,2,27.4,-0.2,0,0,18,-67.5,Puerto,Rico
2000,12,5,2,2000,12,9,2,27.5,0,0,0,18,-67.5,Puerto,Rico
2000,12,9,2,2000,12,12,3,27,-0.4,0,0,18,-67.5,Puerto,Rico
2000,12,12,3,2000,12,16,2,27,-0.3,0,0,18,-67.5,Puerto,Rico
2000,12,16,2,2000,12,19,0,26.6,-0.6,0,0,18,-67.5,Puerto,Rico
2000,12,19,0,2000,12,23,2,26.3,-0.8,0,0,18,-67.5,Puerto,Rico
2000,12,23,2,2000,12,26,3,26.4,-0.7,0,0,18,-67.5,Puerto,Rico
2000,12,26,3,2000,12,30,2,26.1,-0.9,0,0,18,-67.5,Puerto,Rico
2000,12,30,2,2000,12,31,23,26.1,-0.9,0,0,18,-67.5,Puerto,Rico
2001,1,1,13,2001,1,6,3,26.2,-0.7,0,0,18,-67.5,Puerto,Rico
2001,1,6,3,2001,1,9,2,25.8,-1,0,0,18,-67.5,Puerto,Rico
2001,1,13,3,2001,1,16,2,25.8,-0.9,0,0,18,-67.5,Puerto,Rico
2001,1,16,2,2001,1,20,3,26.3,-0.3,0,0,18,-67.5,Puerto,Rico
2001,1,20,3,2001,1,23,2,25.7,-0.8,0,0,18,-67.5,Puerto,Rico
2001,1,23,2,2001,1,27,2,25.6,-0.9,0,0,18,-67.5,Puerto,Rico
2001,1,27,2,2001,1,30,3,25.7,-0.7,0,0,18,-67.5,Puerto,Rico
2001,1,30,3,2001,2,3,2,25.5,-0.8,0,0,18,-67.5,Puerto,Rico
2001,2,3,2,2001,2,6,3,25.6,-0.7,0,0,18,-67.5,Puerto,Rico
2001,2,6,3,2001,2,10,2,25.4,-0.8,0,0,18,-67.5,Puerto,Rico
2001,2,10,2,2001,2,13,2,25.4,-0.7,0,0,18,-67.5,Puerto,Rico
2001,2,13,2,2001,2,17,2,25.5,-0.6,0,0,18,-67.5,Puerto,Rico
2001,2,17,2,2001,2,20,2,25.4,-0.7,0,0,18,-67.5,Puerto,Rico
2001,2,20,18,2001,2,23,23,26,0,0,0,18,-67.5,Puerto,Rico
2001,2,23,23,2001,2,27,0,26,0,0,0,18,-67.5,Puerto,Rico
2001,2,27,0,2001,3,2,23,25.9,-0.1,0,0,18,-67.5,Puerto,Rico
2001,3,2,23,2001,3,5,23,25.9,-0.1,0,0,18,-67.5,Puerto,Rico
2001,3,5,23,2001,3,10,0,25.9,0,0,0,18,-67.5,Puerto,Rico
2001,3,10,0,2001,3,12,23,25.9,0,0,0,18,-67.5,Puerto,Rico
2001,3,12,23,2001,3,16,23,26,0.1,0,0,18,-67.5,Puerto,Rico
2001,3,16,23,2001,3,20,0,26.2,0.2,0,0,18,-67.5,Puerto,Rico
2001,3,20,0,2001,3,23,23,26.1,0.1,0,0,18,-67.5,Puerto,Rico
2001,3,23,23,2001,3,27,0,26.2,0.1,0,0,18,-67.5,Puerto,Rico
2001,3,27,0,2001,3,31,0,26.5,0.4,0,0,18,-67.5,Puerto,Rico
2001,3,31,0,2001,4,2,23,26.3,0.2,0,0,18,-67.5,Puerto,Rico
2001,4,2,23,2001,4,7,0,26.8,0.6,0,0,18,-67.5,Puerto,Rico
2001,4,7,0,2001,4,10,0,26.6,0.4,0,0,18,-67.5,Puerto,Rico
2001,4,10,0,2001,4,13,23,26.2,-0.1,0,0,18,-67.5,Puerto,Rico
2001,4,13,23,2001,4,17,0,26.7,0.3,0,0,18,-67.5,Puerto,Rico
